control_frequency_hz,mode,pulse_count,profile_amplitude,raw_rms,raw_peak,compensated_rms,compensated_peak,monitor_gain_db
2,ASYNC_PWM,,0.021410,0.01823679,0.18923214,0.08073763,0.75331926,14.24
5,ASYNC_PWM,,0.053524,0.03612960,0.22343171,0.09605954,0.56827176,9.08
8,ASYNC_PWM,,0.085639,0.05063519,0.26876986,0.10164017,0.52073151,6.45
10,SYNC_PULSE,27,0.107048,0.06477828,0.27374399,0.09116435,0.38152081,3.11
15,SYNC_PULSE,27,0.160573,0.07410733,0.28320947,0.09776436,0.37132582,2.54
20,SYNC_PULSE,15,0.214097,0.13124109,0.40485114,0.11110216,0.34554043,-1.52
30,SYNC_PULSE,9,0.321283,0.12607326,0.36505932,0.09580608,0.28031206,-2.47
40,SYNC_PULSE,9,0.428929,0.14565061,0.38285109,0.10107965,0.26945108,-3.29
50,SYNC_PULSE,5,0.679625,0.14362236,0.34011361,0.10253202,0.24543042,-3.01
60,SYNC_PULSE,3,0.817125,0.13160678,0.28936923,0.10081046,0.22297376,-2.37
75,SYNC_PULSE,1,1.000000,0.12396407,0.26412421,0.09956379,0.21326680,-1.93
90,SYNC_PULSE,1,1.000000,0.13543246,0.33720988,0.10020786,0.25241226,-2.67
106,SYNC_PULSE,1,1.000000,0.13636950,0.31878945,0.10065784,0.23747183,-2.70
