control_frequency_hz,mode,pulse_count,profile_amplitude,legacy_rms,legacy_peak,legacy_finite,motor_rms,motor_peak,motor_finite
5,ASYNC_PWM,,0.053524,0.03612960,0.22343171,true,0.00626507,0.03960688,true
8,ASYNC_PWM,,0.085639,0.05063519,0.26876986,true,0.00855870,0.04755694,true
10,SYNC_PULSE,27,0.107048,0.06477828,0.27374399,true,0.01190007,0.04887343,true
15,SYNC_PULSE,27,0.160573,0.07410733,0.28320947,true,0.01293299,0.05215308,true
20,SYNC_PULSE,15,0.214097,0.13124109,0.40485114,true,0.03320897,0.09226093,true
30,SYNC_PULSE,9,0.321283,0.12607326,0.36505932,true,0.04922163,0.11391836,true
40,SYNC_PULSE,9,0.428929,0.14565061,0.38285109,true,0.04284365,0.12955849,true
50,SYNC_PULSE,5,0.679625,0.14362236,0.34011361,true,0.16383390,0.34449705,true
60,SYNC_PULSE,3,0.817125,0.13160678,0.28936923,true,0.06699198,0.12666871,true
75,SYNC_PULSE,1,1.000000,0.12396407,0.26412421,true,0.12930077,0.24656573,true
90,SYNC_PULSE,1,1.000000,0.13543246,0.33720988,true,0.10508506,0.20706792,true
106,SYNC_PULSE,1,1.000000,0.13636950,0.31878945,true,0.09097912,0.17730342,true
